Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,2624.0,2661.0,2542.0,2552.0,25426,0,0
2021-01-05,2540.0,2542.0,2495.0,2514.0,17025,0,0
2021-01-06,2514.0,2537.0,2471.0,2486.0,16193,0,0
2021-01-07,2480.0,2551.0,2468.0,2547.0,22080,0,0
2021-01-08,2543.0,2564.0,2500.0,2516.0,14169,0,0
2021-01-11,2499.0,2516.0,2471.0,2480.0,14899,0,0
2021-01-12,2488.0,2516.0,2479.0,2498.0,12939,0,0
2021-01-13,2498.0,2538.0,2486.0,2499.0,15200,0,0
2021-01-14,2494.0,2518.0,2463.0,2500.0,16723,0,0
2021-01-15,2534.0,2559.0,2512.0,2527.0,14749,0,0
2021-01-19,2546.0,2605.0,2521.0,2590.0,24116,0,0
2021-01-20,2599.0,2624.0,2556.0,2569.0,20172,0,0
2021-01-21,2573.0,2573.0,2537.0,2550.0,14201,0,0
2021-01-22,2536.0,2537.0,2483.0,2529.0,19706,0,0
2021-01-25,2518.0,2525.0,2490.0,2508.0,18154,0,0
2021-01-26,2502.0,2555.0,2489.0,2545.0,19921,0,0
2021-01-27,2560.0,2597.0,2498.0,2504.0,18018,0,0
2021-01-28,2491.0,2530.0,2478.0,2510.0,15995,0,0
2021-01-29,2505.0,2545.0,2500.0,2531.0,14566,0,0
2021-02-01,2535.0,2569.0,2501.0,2547.0,15775,0,0
2021-02-02,2548.0,2622.0,2542.0,2599.0,35418,0,0
2021-02-03,2582.0,2589.0,2520.0,2527.0,21335,0,0
2021-02-04,2526.0,2565.0,2521.0,2532.0,17416,0,0
2021-02-05,2539.0,2618.0,2533.0,2587.0,24891,0,0
2021-02-08,2597.0,2614.0,2555.0,2577.0,16741,0,0
2021-02-09,2590.0,2629.0,2575.0,2581.0,13103,0,0
2021-02-10,2600.0,2707.0,2599.0,2677.0,10874,0,0
2021-02-11,2686.0,2700.0,2423.0,2449.0,3442,0,0
2021-02-12,2478.0,2529.0,2471.0,2503.0,85,0,0
2021-02-16,2498.0,2498.0,2498.0,2498.0,1,0,0
2021-02-17,2445.0,2457.0,2445.0,2447.0,30,0,0
2021-02-18,2560.0,2560.0,2558.0,2552.0,56,0,0
2021-02-19,2535.0,2535.0,2535.0,2535.0,62,0,0
2021-02-22,2582.0,2582.0,2582.0,2582.0,0,0,0
2021-02-23,2596.0,2596.0,2596.0,2596.0,97,0,0
2021-02-24,2650.0,2650.0,2650.0,2650.0,0,0,0
2021-02-25,2705.0,2705.0,2705.0,2705.0,0,0,0
2021-02-26,2701.0,2701.0,2701.0,2701.0,0,0,0
2021-03-01,2736.0,2736.0,2736.0,2736.0,0,0,0
2021-03-02,2742.0,2742.0,2742.0,2742.0,0,0,0
2021-03-03,2754.0,2754.0,2754.0,2754.0,0,0,0
2021-03-04,2639.0,2640.0,2635.0,2785.0,22,0,0
2021-03-05,2706.0,2706.0,2706.0,2706.0,0,0,0
2021-03-08,2693.0,2693.0,2693.0,2693.0,0,0,0
2021-03-09,2713.0,2713.0,2713.0,2713.0,0,0,0
2021-03-10,2727.0,2727.0,2727.0,2733.0,28,0,0
2021-03-11,2753.0,2753.0,2753.0,2753.0,0,0,0
2021-03-12,2574.0,2574.0,2574.0,2574.0,87,0,0
2021-03-15,2610.0,2610.0,2610.0,2590.0,4,0,0
2021-03-16,2595.0,2595.0,1900.0,2512.0,14042,0,0
2021-03-17,2530.0,2533.0,2505.0,2521.0,12332,0,0
