,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04 04:00:00-05:00,2624.0,2630.0,2606.0,2628.0,793,0,0
2021-01-04 05:00:00-05:00,2628.0,2636.0,2624.0,2635.0,1056,0,0
2021-01-04 06:00:00-05:00,2634.0,2647.0,2634.0,2644.0,1091,0,0
2021-01-04 07:00:00-05:00,2645.0,2652.0,2636.0,2650.0,1088,0,0
2021-01-04 08:00:00-05:00,2649.0,2658.0,2635.0,2645.0,2755,0,0
2021-01-04 09:00:00-05:00,2644.0,2661.0,2616.0,2620.0,3852,0,0
2021-01-04 10:00:00-05:00,2620.0,2621.0,2572.0,2572.0,6210,0,0
2021-01-04 11:00:00-05:00,2572.0,2582.0,2546.0,2546.0,5828,0,0
2021-01-04 12:00:00-05:00,2546.0,2553.0,2542.0,2551.0,1742,0,0
2021-01-04 13:00:00-05:00,2550.0,2553.0,2544.0,2547.0,685,0,0
2021-01-05 04:00:00-05:00,2540.0,2542.0,2518.0,2522.0,649,0,0
2021-01-05 05:00:00-05:00,2522.0,2524.0,2501.0,2518.0,1418,0,0
2021-01-05 06:00:00-05:00,2518.0,2524.0,2511.0,2523.0,525,0,0
2021-01-05 07:00:00-05:00,2523.0,2527.0,2514.0,2516.0,1004,0,0
2021-01-05 08:00:00-05:00,2517.0,2532.0,2514.0,2521.0,2074,0,0
2021-01-05 09:00:00-05:00,2520.0,2521.0,2503.0,2509.0,2743,0,0
2021-01-05 10:00:00-05:00,2509.0,2532.0,2495.0,2515.0,3221,0,0
2021-01-05 11:00:00-05:00,2514.0,2522.0,2503.0,2516.0,3491,0,0
2021-01-05 12:00:00-05:00,2515.0,2526.0,2514.0,2523.0,1164,0,0
2021-01-05 13:00:00-05:00,2522.0,2529.0,2521.0,2523.0,402,0,0
2021-01-06 04:00:00-05:00,2514.0,2531.0,2507.0,2527.0,269,0,0
2021-01-06 05:00:00-05:00,2527.0,2537.0,2526.0,2534.0,422,0,0
