Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,840.0,855.0,820.0,853.0,16820,0,0
2000-01-10,848.0,875.0,836.0,850.0,19945,0,0
2000-01-17,835.0,865.0,815.0,861.0,22502,0,0
2000-01-24,858.0,866.0,805.0,811.0,22997,0,0
2000-01-31,810.0,812.0,751.0,765.0,27492,0,0
2000-02-07,765.0,788.0,750.0,759.0,32375,0,0
2000-02-14,755.0,790.0,735.0,780.0,19017,0,0
2000-02-21,770.0,805.0,734.0,734.0,353,0,0
2000-02-28,735.0,814.0,730.0,805.0,222,0,0
2000-03-06,805.0,868.0,775.0,840.0,64,0,0
2000-03-13,845.0,929.0,800.0,898.0,7801,0,0
2000-03-20,885.0,891.0,828.0,840.0,26715,0,0
2000-03-27,840.0,840.0,786.0,800.0,30033,0,0
2000-04-03,785.0,838.0,783.0,810.0,20500,0,0
2000-04-10,808.0,824.0,793.0,807.0,34808,0,0
2000-04-17,800.0,850.0,794.0,803.0,1192,0,0
2000-04-24,803.0,804.0,747.0,747.0,213,0,0
2000-05-01,752.0,784.0,740.0,771.0,51,0,0
2000-05-08,775.0,800.0,743.0,778.0,27,0,0
2000-05-15,781.0,865.0,781.0,857.0,21969,0,0
2000-05-22,853.0,874.0,821.0,835.0,25946,0,0
2000-05-29,835.0,858.0,828.0,848.0,14958,0,0
2000-06-05,843.0,885.0,806.0,849.0,35038,0,0
2000-06-12,845.0,866.0,838.0,849.0,27378,0,0
2000-06-19,850.0,905.0,810.0,825.0,1199,0,0
2000-06-26,821.0,828.0,791.0,820.0,254,0,0
2000-07-03,847.0,847.0,803.0,826.0,8,0,0
2000-07-10,823.0,831.0,813.0,816.0,29,0,0
2000-07-17,832.0,898.0,828.0,887.0,30792,0,0
2000-07-24,875.0,875.0,832.0,843.0,15389,0,0
2000-07-31,835.0,840.0,767.0,777.0,27533,0,0
2000-08-07,772.0,784.0,747.0,769.0,14503,0,0
2000-08-14,769.0,776.0,749.0,750.0,18634,0,0
2000-08-21,749.0,770.0,735.0,744.0,241,0,0
2000-08-28,750.0,760.0,737.0,757.0,88,0,0
2000-09-04,778.0,790.0,759.0,778.0,41,0,0
2000-09-11,767.0,818.0,767.0,814.0,5452,0,0
2000-09-18,825.0,826.0,787.0,812.0,18181,0,0
2000-09-25,809.0,813.0,777.0,797.0,16683,0,0
2000-10-02,792.0,846.0,782.0,830.0,24748,0,0
2000-10-09,825.0,839.0,810.0,813.0,16739,0,0
2000-10-16,810.0,825.0,785.0,788.0,14303,0,0
2000-10-23,791.0,815.0,761.0,762.0,29225,0,0
2000-10-30,771.0,773.0,747.0,749.0,21518,0,0
2000-11-06,750.0,758.0,729.0,730.0,31375,0,0
2000-11-13,725.0,729.0,691.0,700.0,11577,0,0
2000-11-20,700.0,705.0,690.0,690.0,280,0,0
2000-11-27,685.0,715.0,680.0,703.0,213,0,0
2000-12-04,711.0,725.0,696.0,708.0,42,0,0
2000-12-11,709.0,747.0,674.0,733.0,11670,0,0
2000-12-18,734.0,771.0,718.0,765.0,23218,0,0
2000-12-25,770.0,780.0,757.0,758.0,15674,0,0
2001-01-01,770.0,817.0,752.0,813.0,26816,0,0
2001-01-08,815.0,870.0,796.0,860.0,36384,0,0
2001-01-15,880.0,1055.0,872.0,957.0,42692,0,0
2001-01-22,950.0,1066.0,943.0,1056.0,24894,0,0
2001-01-29,1065.0,1079.0,1011.0,1048.0,24000,0,0
2001-02-05,1040.0,1088.0,1002.0,1012.0,21376,0,0
2001-02-12,1022.0,1139.0,1022.0,1137.0,7718,0,0
2001-02-19,1162.0,1202.0,1118.0,1160.0,634,0,0
2001-02-26,1145.0,1172.0,1110.0,1164.0,171,0,0
2001-03-05,1130.0,1150.0,1032.0,1070.0,91,0,0
2001-03-12,1056.0,1070.0,997.0,1028.0,6408,0,0
2001-03-19,1020.0,1042.0,949.0,1036.0,26196,0,0
2001-03-26,1046.0,1085.0,1025.0,1073.0,25727,0,0
2001-04-02,1088.0,1088.0,993.0,1011.0,18974,0,0
2001-04-09,1010.0,1010.0,954.0,993.0,16322,0,0
2001-04-16,993.0,1021.0,945.0,1010.0,1563,0,0
2001-04-23,1007.0,1058.0,993.0,1025.0,183,0,0
2001-04-30,1020.0,1020.0,990.0,1014.0,141,0,0
2001-05-07,1040.0,1098.0,1034.0,1064.0,129,0,0
2001-05-14,1080.0,1109.0,1041.0,1103.0,19522,0,0
2001-05-21,1095.0,1103.0,1020.0,1031.0,17952,0,0
2001-05-28,1031.0,1035.0,925.0,943.0,25849,0,0
2001-06-04,916.0,962.0,897.0,937.0,19835,0,0
2001-06-11,945.0,945.0,906.0,915.0,13296,0,0
2001-06-18,930.0,952.0,880.0,910.0,1099,0,0
2001-06-25,910.0,974.0,893.0,974.0,287,0,0
2001-07-02,1000.0,1000.0,955.0,970.0,129,0,0
2001-07-09,928.0,940.0,854.0,902.0,29,0,0
2001-07-16,925.0,974.0,887.0,956.0,21184,0,0
2001-07-23,945.0,954.0,915.0,920.0,13551,0,0
2001-07-30,915.0,972.0,909.0,956.0,29871,0,0
2001-08-06,956.0,1038.0,949.0,1017.0,21903,0,0
2001-08-13,1010.0,1032.0,983.0,992.0,16388,0,0
2001-08-20,980.0,999.0,955.0,965.0,366,0,0
2001-08-27,955.0,977.0,916.0,927.0,122,0,0
2001-09-03,907.0,908.0,857.0,900.0,20,0,0
2001-09-10,897.0,897.0,889.0,889.0,5,0,0
2001-09-17,929.0,1006.0,920.0,992.0,15792,0,0
2001-09-24,985.0,1100.0,984.0,1077.0,28484,0,0
2001-10-01,1110.0,1130.0,1058.0,1114.0,18093,0,0
2001-10-08,1093.0,1104.0,1025.0,1029.0,13266,0,0
2001-10-15,1024.0,1072.0,1013.0,1026.0,16697,0,0
2001-10-22,1010.0,1022.0,977.0,995.0,17326,0,0
2001-10-29,995.0,1028.0,988.0,1006.0,15905,0,0
2001-11-05,995.0,1160.0,985.0,1154.0,18784,0,0
2001-11-12,1158.0,1300.0,1131.0,1285.0,12022,0,0
2001-11-19,1295.0,1310.0,1252.0,1279.0,470,0,0
2001-11-26,1295.0,1380.0,1285.0,1355.0,438,0,0
2001-12-03,1335.0,1335.0,1252.0,1269.0,299,0,0
2001-12-10,1259.0,1344.0,1235.0,1334.0,13468,0,0
2001-12-17,1334.0,1338.0,1268.0,1283.0,18029,0,0
2001-12-24,1273.0,1331.0,1260.0,1310.0,6940,0,0
2001-12-31,1310.0,1391.0,1282.0,1386.0,18080,0,0
2002-01-07,1390.0,1422.0,1355.0,1357.0,24869,0,0
2002-01-14,1300.0,1344.0,1260.0,1286.0,21470,0,0
2002-01-21,1273.0,1369.0,1270.0,1347.0,16157,0,0
2002-01-28,1360.0,1375.0,1327.0,1350.0,21338,0,0
2002-02-04,1355.0,1466.0,1348.0,1454.0,32281,0,0
2002-02-11,1450.0,1490.0,1430.0,1481.0,12739,0,0
2002-02-18,1475.0,1475.0,1405.0,1443.0,520,0,0
2002-02-25,1456.0,1515.0,1438.0,1515.0,351,0,0
2002-03-04,1520.0,1563.0,1495.0,1554.0,335,0,0
2002-03-11,1545.0,1598.0,1538.0,1559.0,7971,0,0
2002-03-18,1545.0,1555.0,1505.0,1535.0,17379,0,0
2002-03-25,1542.0,1549.0,1466.0,1494.0,16139,0,0
2002-04-01,1500.0,1578.0,1471.0,1559.0,32949,0,0
2002-04-08,1551.0,1574.0,1447.0,1520.0,23756,0,0
2002-04-15,1515.0,1617.0,1500.0,1581.0,6447,0,0
2002-04-22,1571.0,1610.0,1528.0,1540.0,1061,0,0
2002-04-29,1546.0,1548.0,1471.0,1500.0,373,0,0
2002-05-06,1480.0,1529.0,1475.0,1520.0,114,0,0
2002-05-13,1530.0,1601.0,1522.0,1588.0,14939,0,0
2002-05-20,1583.0,1604.0,1546.0,1549.0,18422,0,0
2002-05-27,1551.0,1620.0,1541.0,1598.0,21220,0,0
2002-06-03,1595.0,1595.0,1543.0,1549.0,30284,0,0
2002-06-10,1520.0,1525.0,1428.0,1456.0,25111,0,0
2002-06-17,1445.0,1600.0,1435.0,1598.0,956,0,0
2002-06-24,1615.0,1648.0,1585.0,1630.0,269,0,0
2002-07-01,1620.0,1703.0,1610.0,1697.0,112,0,0
2002-07-08,1708.0,1810.0,1705.0,1740.0,215,0,0
2002-07-15,1758.0,1819.0,1748.0,1799.0,18967,0,0
2002-07-22,1803.0,1843.0,1712.0,1788.0,25158,0,0
2002-07-29,1783.0,1805.0,1695.0,1702.0,24066,0,0
2002-08-05,1700.0,1800.0,1700.0,1783.0,23718,0,0
2002-08-12,1770.0,1885.0,1770.0,1860.0,17300,0,0
2002-08-19,1865.0,1963.0,1864.0,1955.0,1938,0,0
2002-08-26,1950.0,2033.0,1920.0,2012.0,926,0,0
2002-09-02,1990.0,2045.0,1950.0,2045.0,206,0,0
2002-09-09,2045.0,2061.0,2010.0,2033.0,5231,0,0
2002-09-16,2013.0,2124.0,2013.0,2113.0,21150,0,0
2002-09-23,2124.0,2174.0,2105.0,2151.0,20831,0,0
2002-09-30,2171.0,2232.0,2171.0,2224.0,16786,0,0
2002-10-07,2245.0,2405.0,2242.0,2325.0,30583,0,0
2002-10-14,2354.0,2357.0,1899.0,1910.0,38353,0,0
2002-10-21,1855.0,2071.0,1842.0,2034.0,15036,0,0
2002-10-28,1980.0,1999.0,1855.0,1901.0,26105,0,0
2002-11-04,1820.0,1925.0,1788.0,1892.0,20529,0,0
2002-11-11,1909.0,1910.0,1720.0,1753.0,8665,0,0
2002-11-18,1770.0,1818.0,1735.0,1779.0,833,0,0
2002-11-25,1737.0,1794.0,1705.0,1750.0,83,0,0
2002-12-02,1850.0,2011.0,1795.0,2006.0,177,0,0
2002-12-09,2060.0,2165.0,2035.0,2060.0,7418,0,0
2002-12-16,2050.0,2092.0,2013.0,2070.0,15141,0,0
2002-12-23,2075.0,2078.0,1996.0,2018.0,8040,0,0
2002-12-30,2010.0,2150.0,1988.0,2145.0,20068,0,0
2003-01-06,2135.0,2200.0,2078.0,2155.0,29137,0,0
2003-01-13,2125.0,2188.0,2055.0,2151.0,17722,0,0
2003-01-20,2145.0,2250.0,2122.0,2187.0,19387,0,0
2003-01-27,2244.0,2420.0,2211.0,2409.0,35358,0,0
2003-02-03,2408.0,2420.0,2285.0,2380.0,38838,0,0
2003-02-10,2345.0,2370.0,2265.0,2366.0,17795,0,0
2003-02-17,2310.0,2331.0,2105.0,2125.0,1792,0,0
2003-02-24,2137.0,2166.0,1980.0,2080.0,660,0,0
2003-03-03,2090.0,2090.0,1985.0,2083.0,176,0,0
2003-03-10,2060.0,2066.0,1975.0,2043.0,2198,0,0
2003-03-17,1975.0,2070.0,1954.0,1991.0,17906,0,0
2003-03-24,1975.0,1995.0,1892.0,1918.0,22689,0,0
2003-03-31,1940.0,2009.0,1920.0,1995.0,22416,0,0
2003-04-07,1972.0,2058.0,1895.0,1904.0,25147,0,0
2003-04-14,1905.0,1929.0,1843.0,1905.0,4677,0,0
2003-04-21,1900.0,2080.0,1900.0,2079.0,373,0,0
2003-04-28,2064.0,2110.0,2016.0,2017.0,317,0,0
2003-05-05,1992.0,2005.0,1885.0,1885.0,363,0,0
2003-05-12,1895.0,1895.0,1703.0,1746.0,12915,0,0
2003-05-19,1740.0,1740.0,1565.0,1677.0,20775,0,0
2003-05-26,1630.0,1630.0,1460.0,1493.0,18004,0,0
2003-06-02,1450.0,1580.0,1420.0,1505.0,23222,0,0
2003-06-09,1500.0,1547.0,1472.0,1481.0,19680,0,0
2003-06-16,1520.0,1625.0,1481.0,1573.0,1243,0,0
2003-06-23,1548.0,1650.0,1541.0,1650.0,299,0,0
2003-06-30,1680.0,1706.0,1640.0,1667.0,43,0,0
2003-07-07,1690.0,1715.0,1570.0,1573.0,48,0,0
2003-07-14,1550.0,1560.0,1450.0,1466.0,11116,0,0
2003-07-21,1460.0,1492.0,1420.0,1464.0,14461,0,0
2003-07-28,1444.0,1498.0,1420.0,1465.0,17864,0,0
2003-08-04,1475.0,1522.0,1420.0,1489.0,30673,0,0
2003-08-11,1489.0,1548.0,1474.0,1487.0,14444,0,0
2003-08-18,1483.0,1688.0,1482.0,1679.0,1277,0,0
2003-08-25,1675.0,1820.0,1671.0,1820.0,386,0,0
2003-09-01,1765.0,1797.0,1727.0,1770.0,177,0,0
2003-09-08,1760.0,1777.0,1550.0,1559.0,106,0,0
2003-09-15,1562.0,1562.0,1467.0,1519.0,19817,0,0
2003-09-22,1519.0,1708.0,1488.0,1602.0,26079,0,0
2003-09-29,1580.0,1648.0,1533.0,1560.0,18057,0,0
2003-10-06,1550.0,1574.0,1445.0,1460.0,26814,0,0
2003-10-13,1430.0,1519.0,1360.0,1367.0,27340,0,0
2003-10-20,1367.0,1440.0,1364.0,1432.0,20113,0,0
2003-10-27,1437.0,1470.0,1395.0,1440.0,20977,0,0
2003-11-03,1430.0,1515.0,1403.0,1499.0,39129,0,0
2003-11-10,1485.0,1592.0,1440.0,1589.0,17918,0,0
2003-11-17,1589.0,1592.0,1504.0,1504.0,383,0,0
2003-11-24,1505.0,1513.0,1435.0,1446.0,102,0,0
2003-12-01,1540.0,1604.0,1497.0,1585.0,14,0,0
2003-12-08,1591.0,1800.0,1591.0,1644.0,2682,0,0
2003-12-15,1649.0,1667.0,1554.0,1572.0,18722,0,0
2003-12-22,1570.0,1596.0,1536.0,1559.0,4432,0,0
2003-12-29,1540.0,1567.0,1500.0,1515.0,10637,0,0
2004-01-05,1500.0,1698.0,1456.0,1671.0,28234,0,0
2004-01-12,1660.0,1685.0,1586.0,1597.0,24117,0,0
2004-01-19,1650.0,1683.0,1580.0,1609.0,17794,0,0
2004-01-26,1600.0,1635.0,1515.0,1520.0,21193,0,0
2004-02-02,1510.0,1615.0,1504.0,1543.0,32766,0,0
2004-02-09,1555.0,1561.0,1493.0,1536.0,19673,0,0
2004-02-16,1535.0,1575.0,1444.0,1450.0,446,0,0
2004-02-23,1450.0,1585.0,1436.0,1570.0,122,0,0
2004-03-01,1516.0,1552.0,1451.0,1451.0,59,0,0
2004-03-08,1455.0,1465.0,1328.0,1402.0,27,0,0
2004-03-15,1410.0,1479.0,1410.0,1441.0,17651,0,0
2004-03-22,1468.0,1511.0,1440.0,1478.0,18358,0,0
2004-03-29,1465.0,1562.0,1405.0,1418.0,50463,0,0
2004-04-05,1416.0,1440.0,1371.0,1402.0,24694,0,0
2004-04-12,1410.0,1410.0,1330.0,1336.0,21927,0,0
2004-04-19,1336.0,1380.0,1310.0,1356.0,344,0,0
2004-04-26,1385.0,1423.0,1378.0,1413.0,56,0,0
2004-05-03,1405.0,1405.0,1352.0,1352.0,54,0,0
2004-05-10,1355.0,1372.0,1314.0,1322.0,13222,0,0
2004-05-17,1330.0,1430.0,1299.0,1382.0,44652,0,0
2004-05-24,1380.0,1476.0,1363.0,1465.0,41231,0,0
2004-05-31,1450.0,1454.0,1326.0,1334.0,37176,0,0
2004-06-07,1338.0,1390.0,1318.0,1347.0,27039,0,0
2004-06-14,1330.0,1380.0,1322.0,1335.0,13120,0,0
2004-06-21,1325.0,1365.0,1325.0,1360.0,251,0,0
2004-06-28,1365.0,1390.0,1300.0,1312.0,85,0,0
2004-07-05,1340.0,1461.0,1338.0,1417.0,24,0,0
2004-07-12,1425.0,1545.0,1425.0,1528.0,14422,0,0
2004-07-19,1545.0,1639.0,1530.0,1620.0,36922,0,0
2004-07-26,1620.0,1672.0,1575.0,1645.0,29725,0,0
2004-08-02,1685.0,1738.0,1595.0,1610.0,37947,0,0
2004-08-09,1628.0,1664.0,1575.0,1627.0,47615,0,0
2004-08-16,1637.0,1730.0,1530.0,1713.0,6035,0,0
2004-08-23,1700.0,1735.0,1645.0,1700.0,379,0,0
2004-08-30,1685.0,1709.0,1555.0,1567.0,381,0,0
2004-09-06,1550.0,1550.0,1455.0,1455.0,68,0,0
2004-09-13,1470.0,1470.0,1436.0,1461.0,12023,0,0
2004-09-20,1469.0,1543.0,1445.0,1458.0,21684,0,0
2004-09-27,1458.0,1475.0,1431.0,1450.0,25934,0,0
2004-10-04,1443.0,1459.0,1390.0,1425.0,23955,0,0
2004-10-11,1431.0,1480.0,1422.0,1447.0,18262,0,0
2004-10-18,1447.0,1478.0,1424.0,1448.0,16883,0,0
2004-10-25,1448.0,1500.0,1442.0,1469.0,21342,0,0
2004-11-01,1469.0,1638.0,1451.0,1633.0,61071,0,0
2004-11-08,1810.0,1830.0,1665.0,1694.0,36986,0,0
2004-11-15,1714.0,1755.0,1590.0,1602.0,415,0,0
2004-11-22,1590.0,1610.0,1562.0,1610.0,58,0,0
2004-11-29,1605.0,1745.0,1575.0,1745.0,262,0,0
2004-12-06,1758.0,1766.0,1648.0,1660.0,28,0,0
2004-12-13,1640.0,1682.0,1596.0,1600.0,13209,0,0
2004-12-20,1585.0,1601.0,1550.0,1552.0,18608,0,0
2004-12-27,1570.0,1588.0,1535.0,1547.0,15777,0,0
2005-01-03,1540.0,1554.0,1470.0,1473.0,36584,0,0
2005-01-10,1470.0,1515.0,1464.0,1500.0,35483,0,0
2005-01-17,1497.0,1512.0,1475.0,1486.0,17168,0,0
2005-01-24,1488.0,1596.0,1486.0,1562.0,31483,0,0
2005-01-31,1540.0,1609.0,1523.0,1576.0,41684,0,0
2005-02-07,1570.0,1621.0,1530.0,1550.0,31905,0,0
2005-02-14,1558.0,1610.0,1532.0,1603.0,852,0,0
2005-02-21,1596.0,1641.0,1566.0,1635.0,112,0,0
2005-02-28,1645.0,1745.0,1645.0,1740.0,143,0,0
2005-03-07,1757.0,1810.0,1715.0,1791.0,42,0,0
2005-03-14,1785.0,1850.0,1768.0,1844.0,24727,0,0
2005-03-21,1820.0,1830.0,1560.0,1584.0,39077,0,0
2005-03-28,1570.0,1669.0,1558.0,1571.0,31732,0,0
2005-04-04,1560.0,1595.0,1510.0,1565.0,39444,0,0
2005-04-11,1570.0,1572.0,1483.0,1495.0,25035,0,0
2005-04-18,1500.0,1538.0,1457.0,1473.0,469,0,0
2005-04-25,1472.0,1493.0,1443.0,1459.0,74,0,0
2005-05-02,1475.0,1480.0,1452.0,1456.0,5,0,0
2005-05-09,1461.0,1478.0,1402.0,1402.0,5308,0,0
2005-05-16,1420.0,1469.0,1417.0,1440.0,15894,0,0
2005-05-23,1457.0,1468.0,1412.0,1412.0,21308,0,0
2005-05-30,1415.0,1445.0,1392.0,1429.0,28890,0,0
2005-06-06,1425.0,1451.0,1405.0,1407.0,44496,0,0
2005-06-13,1400.0,1548.0,1397.0,1534.0,20715,0,0
2005-06-20,1530.0,1575.0,1517.0,1517.0,760,0,0
2005-06-27,1510.0,1530.0,1439.0,1439.0,219,0,0
2005-07-04,1418.0,1419.0,1372.0,1378.0,460,0,0
2005-07-11,1392.0,1417.0,1385.0,1405.0,8205,0,0
2005-07-18,1415.0,1444.0,1391.0,1407.0,13357,0,0
2005-07-25,1415.0,1480.0,1412.0,1479.0,26581,0,0
2005-08-01,1489.0,1505.0,1445.0,1455.0,30051,0,0
2005-08-08,1460.0,1463.0,1338.0,1343.0,34770,0,0
2005-08-15,1356.0,1365.0,1316.0,1349.0,13834,0,0
2005-08-22,1355.0,1387.0,1345.0,1374.0,73,0,0
2005-08-29,1373.0,1502.0,1344.0,1496.0,50,0,0
2005-09-05,1460.0,1519.0,1460.0,1476.0,5,0,0
2005-09-12,1428.0,1428.0,1355.0,1385.0,13462,0,0
2005-09-19,1360.0,1395.0,1337.0,1350.0,29220,0,0
2005-09-26,1340.0,1444.0,1328.0,1413.0,34204,0,0
2005-10-03,1393.0,1417.0,1363.0,1367.0,20594,0,0
2005-10-10,1370.0,1416.0,1347.0,1408.0,28188,0,0
2005-10-17,1381.0,1405.0,1356.0,1366.0,30625,0,0
2005-10-24,1370.0,1428.0,1369.0,1382.0,36850,0,0
2005-10-31,1367.0,1380.0,1337.0,1344.0,38925,0,0
2005-11-07,1339.0,1360.0,1315.0,1321.0,50997,0,0
2005-11-14,1320.0,1425.0,1317.0,1425.0,4265,0,0
