Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-01,4367.5,4631.0,4138.0,4530.75,33128014,0,0
2022-04-01,4541.0,4588.75,4118.75,4127.5,32233503,0,0
2022-06-01,4138.5,4189.0,3639.0,3789.5,36974740,0,0
2022-07-01,3782.0,4144.0,3723.75,4133.5,34094056,0,0
2022-08-01,4137.5,4327.5,3953.0,3956.5,38473245,0,0
2022-09-01,3958.0,4158.0,3595.25,3601.5,46869798,0,0
2022-10-01,3593.25,3924.25,3502.0,3883.0,48068559,0,0
2022-11-01,3884.0,4093.5,3704.25,4081.25,36186845,0,0
2022-12-01,4094.5,4145.0,3788.5,3861.0,31059109,0,0
2023-01-10,3941.0,3947.0,3938.75,3945.5,11320,0,0
