Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-12-31,1.31908,1.31985,1.31655,1.31688,504883,,
2007-01-01,1.31689,1.32887,1.3165,1.32785,2019410,,
2007-01-02,1.32787,1.32951,1.3217,1.32246,2000160,,
2007-01-03,1.32236,1.32571,1.30871,1.30897,2013679,,
2007-01-04,1.30894,1.31158,1.30601,1.30976,2009841,,
2007-01-05,1.30977,1.3099,1.29804,1.29995,1398124,,
2007-01-07,1.30097,1.30271,1.29837,1.30122,612249,,
2007-01-08,1.30112,1.30517,1.29722,1.30302,2007636,,
2007-01-09,1.30312,1.30367,1.29485,1.29928,2014715,,
2007-01-10,1.29919,1.29999,1.29261,1.29652,2010242,,
2007-01-11,1.2965,1.30124,1.28747,1.29022,2004455,,
2007-01-12,1.29015,1.29418,1.28668,1.29212,1388366,,
2007-01-14,1.29219,1.2955,1.29121,1.29442,609858,,
2007-01-15,1.29444,1.29875,1.29183,1.29701,2002236,,
2007-01-16,1.29691,1.29812,1.29062,1.29173,2017430,,
2007-01-17,1.29169,1.29756,1.28973,1.29418,2001806,,
2007-01-18,1.29409,1.29998,1.28971,1.29601,1997328,,
2007-01-19,1.2959,1.29701,1.29129,1.29536,1395777,,
2007-01-21,1.29592,1.29769,1.29381,1.29415,609494,,
2007-01-22,1.29404,1.30201,1.29201,1.30039,2003179,,
2007-01-23,1.30056,1.30423,1.29734,1.3005,2001419,,
2007-01-24,1.30046,1.30133,1.29475,1.2988,2008748,,
2007-01-25,1.29887,1.2995,1.29024,1.29093,2007908,,
2007-01-26,1.29083,1.29275,1.28807,1.29144,1388833,,
2007-01-28,1.29147,1.29271,1.28948,1.29141,609597,,
2007-01-29,1.29149,1.297,1.29073,1.29553,2007177,,
2007-01-30,1.29548,1.298,1.29239,1.29362,2001089,,
2007-01-31,1.29372,1.3039,1.29273,1.30114,2005254,,
2007-02-01,1.30107,1.30482,1.30044,1.30179,2005580,,
2007-02-02,1.30182,1.30615,1.29474,1.29562,1395680,,
2007-02-04,1.2961,1.29651,1.29271,1.29286,615837,,
2007-02-05,1.29289,1.29463,1.29095,1.29406,1997448,,
2007-02-06,1.29394,1.29984,1.2936,1.2989,1997472,,
2007-02-07,1.29879,1.30263,1.29775,1.2984,2007257,,
2007-02-08,1.29848,1.30452,1.29759,1.29995,2017345,,
2007-02-09,1.29993,1.30128,1.29817,1.30047,1399572,,
2007-02-11,1.2989,1.30359,1.29495,1.29602,648527,,
2007-02-12,1.29618,1.301,1.2939,1.29986,2004931,,
2007-02-13,1.29972,1.30985,1.29906,1.30879,1999286,,
2007-02-14,1.30892,1.31507,1.30726,1.31343,2015437,,
2007-02-15,1.31343,1.31716,1.31153,1.31237,2008848,,
2007-02-16,1.31225,1.31425,1.30958,1.31356,1393292,,
2007-02-18,1.31364,1.31621,1.31211,1.31235,628999,,
2007-02-19,1.31241,1.31881,1.31201,1.31445,2016761,,
2007-02-20,1.31446,1.31648,1.31271,1.31515,2015111,,
2007-02-21,1.31517,1.31519,1.30796,1.30851,2002128,,
2007-02-22,1.30857,1.31404,1.30825,1.31145,2011118,,
2007-02-23,1.31149,1.31863,1.31013,1.31627,1399049,,
2007-02-25,1.3165,1.31971,1.3156,1.3167,613123,,
2007-02-26,1.31663,1.32282,1.31491,1.3209,1994832,,
2007-02-27,1.32101,1.32578,1.31787,1.31885,2003571,,
2007-02-28,1.31879,1.32389,1.31857,1.3221,1992255,,
2007-03-01,1.32199,1.32338,1.31408,1.31623,2009955,,
2007-03-02,1.3162,1.31998,1.31519,1.31882,1389725,,
2007-03-04,1.31949,1.32101,1.31166,1.31183,609950,,
2007-03-05,1.31173,1.31295,1.30723,1.31125,2003509,,
2007-03-06,1.31131,1.3139,1.3086,1.31208,2005811,,
2007-03-07,1.31228,1.31844,1.31168,1.31517,1992842,,
2007-03-08,1.31508,1.31687,1.31154,1.31516,2001166,,
2007-03-09,1.31517,1.31583,1.30864,1.31118,1392867,,
2007-03-11,1.31236,1.3179,1.31054,1.31716,659795,,
