Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-28,4.650000095367432,4.869999885559082,4.630000114440918,4.835000038146973,60854,0,0
2000-09-04,4.849999904632568,5.110000133514404,4.840000152587891,4.880000114440918,130270,0,0
2000-09-11,4.909999847412109,5.340000152587891,4.900000095367432,5.204999923706055,195056,0,0
2000-09-18,5.110000133514404,5.385000228881836,5.079999923706055,5.13100004196167,189676,0,0
2000-09-25,5.099999904632568,5.445000171661377,5.090000152587891,5.199999809265137,211406,0,0
2000-10-02,5.300000190734863,5.380000114440918,4.980000019073486,5.0,169826,0,0
2000-10-09,5.070000171661377,5.840000152587891,5.014999866485596,5.534999847412109,139925,0,0
2000-10-16,5.550000190734863,5.550000190734863,4.860000133514404,4.936999797821045,177538,0,0
2000-10-23,4.940000057220459,5.119999885559082,4.5,4.53000020980835,181764,0,0
2000-10-30,4.610000133514404,4.974999904632568,4.380000114440918,4.909999847412109,210047,0,0
2000-11-06,4.949999809265137,5.550000190734863,4.800000190734863,5.460000038146973,201918,0,0
2000-11-13,5.650000095367432,6.320000171661377,5.610000133514404,6.119999885559082,261019,0,0
2000-11-20,6.25,6.619999885559082,6.210000038146973,6.577000141143799,67978,0,0
2000-11-27,6.409999847412109,6.821000099182129,5.900000095367432,6.675000190734863,201848,0,0
2000-12-04,7.239999771118164,9.0,7.199999809265137,8.585000038146973,142449,0,0
2000-12-11,9.600000381469728,9.649999618530272,7.300000190734863,8.399999618530273,105036,0,0
2000-12-18,9.199999809265137,9.949999809265137,8.369999885559082,9.57900047302246,85586,0,0
2000-12-25,10.0,10.199999809265137,8.800000190734863,9.774999618530272,54824,0,0
2001-01-01,8.649999618530273,9.449999809265137,8.100000381469727,9.25,73656,0,0
2001-01-08,9.699999809265137,9.890000343322754,8.199999809265137,8.472000122070312,99699,0,0
2001-01-15,8.119999885559082,8.25,6.800000190734863,7.480000019073486,86613,0,0
2001-01-22,7.699999809265137,7.769999980926514,6.78000020980835,7.28000020980835,116829,0,0
2001-01-29,6.800000190734863,6.96999979019165,5.650000095367432,6.743000030517578,137890,0,0
2001-02-05,6.199999809265137,6.75,5.610000133514404,6.210000038146973,115512,0,0
2001-02-12,5.849999904632568,6.090000152587891,5.429999828338623,5.567999839782715,115182,0,0
2001-02-19,5.349999904632568,5.420000076293945,5.059999942779541,5.150000095367432,98350,0,0
2001-02-26,5.099999904632568,5.400000095367432,4.929999828338623,5.275000095367432,98647,0,0
2001-03-05,5.389999866485596,5.429999828338623,5.050000190734863,5.079999923706055,93818,0,0
2001-03-12,5.03000020980835,5.179999828338623,4.860000133514404,5.03000020980835,83410,0,0
2001-03-19,5.099999904632568,5.340000152587891,5.0,5.269999980926514,129040,0,0
2001-03-26,5.260000228881836,5.710000038146973,5.010000228881836,5.03000020980835,124643,0,0
2001-04-02,4.949999809265137,5.489999771118164,4.920000076293945,5.388000011444092,132410,0,0
2001-04-09,5.46999979019165,5.619999885559082,5.300000190734863,5.38100004196167,92134,0,0
2001-04-16,5.510000228881836,5.565000057220459,5.0,5.127999782562256,133063,0,0
2001-04-23,5.110000133514404,5.190000057220459,4.849999904632568,4.867000102996826,159711,0,0
2001-04-30,4.775000095367432,4.809999942779541,4.414999961853027,4.489999771118164,141705,0,0
2001-05-07,4.409999847412109,4.459000110626221,4.144999980926514,4.277999877929688,161455,0,0
2001-05-14,4.360000133514404,4.699999809265137,4.15500020980835,4.290999889373779,180192,0,0
2001-05-21,4.199999809265137,4.260000228881836,3.950000047683716,3.973000049591065,155323,0,0
2001-05-28,3.890000104904175,4.074999809265137,3.670000076293945,3.930000066757202,154440,0,0
2001-06-04,4.059999942779541,4.178999900817871,3.724999904632568,3.921999931335449,153267,0,0
2001-06-11,3.9800000190734863,4.440000057220459,3.920000076293945,3.9790000915527344,192378,0,0
