Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-24,1028.0,1028.0,1028.0,1028.0,2,0,0
2020-12-28,1042.199951171875,1042.199951171875,1042.199951171875,1042.199951171875,2,0,0
2020-12-29,1055.699951171875,1055.699951171875,1055.699951171875,1055.699951171875,4985,0,0
2020-12-30,1058.5,1075.199951171875,1053.800048828125,1072.5999755859375,1186,0,0
2020-12-31,1069.800048828125,1082.800048828125,1069.800048828125,1075.4000244140625,161,0,0
2021-01-04,1085.4000244140625,1117.5,1052.300048828125,1066.0,293,0,0
2021-01-05,1074.800048828125,1115.300048828125,1066.199951171875,1114.699951171875,225,0,0
2021-01-06,1108.0,1115.0,1098.0,1105.699951171875,385,0,0
2021-01-07,1098.5999755859375,1125.300048828125,1094.0,1119.699951171875,101,0,0
2021-01-08,1109.0,1117.0,1065.699951171875,1065.699951171875,53,0,0
2021-01-11,1044.800048828125,1045.5999755859375,1039.5999755859375,1039.5999755859375,17,0,0
2021-01-12,1063.5999755859375,1067.699951171875,1049.4000244140625,1062.9000244140625,5,0,0
2021-01-13,1105.9000244140625,1105.9000244140625,1105.9000244140625,1105.9000244140625,12,0,0
2021-01-14,1121.5999755859375,1121.5999755859375,1121.5999755859375,1121.5999755859375,0,0,0
2021-01-15,1115.5999755859375,1116.0999755859375,1078.9000244140625,1085.699951171875,26,0,0
2021-01-19,1083.0,1088.4000244140625,1083.0,1088.4000244140625,11,0,0
2021-01-20,1112.9000244140625,1113.199951171875,1112.0,1112.800048828125,6,0,0
2021-01-21,1124.199951171875,1128.5,1124.199951171875,1124.199951171875,2,0,0
2021-01-22,1127.199951171875,1127.199951171875,1108.199951171875,1108.199951171875,1,0,0
2021-01-25,1107.0,1113.300048828125,1101.199951171875,1101.199951171875,12,0,0
2021-01-26,1103.800048828125,1103.800048828125,1103.800048828125,1103.800048828125,1,0,0
2021-01-27,1075.5,1075.5,1075.5,1075.5,0,0,0
2021-02-01,1092.9000244140625,1135.5,1092.9000244140625,1135.5,4,0,0
2021-02-02,1092.699951171875,1092.699951171875,1092.699951171875,1092.699951171875,0,0,0
2021-02-03,1111.5999755859375,1111.5999755859375,1111.5999755859375,1111.5999755859375,50,0,0
2021-02-04,1100.0999755859375,1100.0999755859375,1100.0999755859375,1100.0999755859375,0,0,0
2021-02-05,1130.300048828125,1130.300048828125,1130.300048828125,1130.300048828125,0,0,0
2021-02-08,1172.4000244140625,1172.4000244140625,1172.4000244140625,1172.4000244140625,0,0,0
2021-02-09,1191.4000244140625,1191.4000244140625,1191.4000244140625,1191.4000244140625,450,0,0
2021-02-10,1244.199951171875,1244.199951171875,1244.199951171875,1244.199951171875,450,0,0
2021-02-11,1250.699951171875,1250.699951171875,1244.4000244140625,1244.4000244140625,3,0,0
2021-02-12,1256.4000244140625,1256.4000244140625,1256.4000244140625,1256.4000244140625,3,0,0
2021-02-16,1277.0,1277.0,1277.0,1277.0,3,0,0
