Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-01,699.75,800.0,699.75,748.75,1531221,0,0
2022-04-01,748.5,827.0,730.25,818.25,2398102,0,0
2022-06-01,753.75,800.0,720.5,743.75,3065989,0,0
2022-07-01,748.0,800.0,561.5,616.25,1072226,0,0
2022-08-01,619.75,684.25,583.0,673.75,1963935,0,0
2022-09-01,671.0,725.0,655.0,677.5,1801770,0,0
2022-10-01,680.0,706.5,671.5,691.5,2812909,0,0
2022-11-01,689.0,698.5,651.25,662.0,3161670,0,0
2022-12-01,661.75,667.75,623.0,666.25,730001,0,0
2022-12-23,659.5,667.75,659.25,666.0,87119,0,0
