Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-28,336.5,339.25,335.25,336.75,203,0,0
2020-12-29,337.0,340.0,336.5,339.0,217,0,0
2020-12-30,338.5,349.75,338.25,349.0,383,0,0
2020-12-31,349.75,363.0,345.75,360.75,389,0,0
2021-01-04,361.0,370.0,353.75,356.0,613,0,0
2021-01-05,353.25,366.5,352.25,363.25,261,0,0
2021-01-06,362.75,363.25,357.0,359.75,117,0,0
2021-01-07,361.0,361.0,352.25,355.25,210,0,0
2021-01-08,355.5,360.25,355.0,357.75,247,0,0
2021-01-11,352.75,357.5,352.75,354.75,128,0,0
2021-01-12,355.25,365.25,353.25,362.0,492,0,0
2021-01-13,362.25,366.25,358.5,361.75,171,0,0
2021-01-14,362.25,367.75,360.5,367.75,213,0,0
2021-01-15,367.25,368.0,364.0,366.0,160,0,0
2021-01-19,365.75,367.5,360.5,362.5,157,0,0
2021-01-20,362.5,365.0,354.25,364.0,361,0,0
2021-01-21,363.75,365.0,360.5,360.5,112,0,0
2021-01-22,360.5,361.75,340.5,345.25,773,0,0
2021-01-25,346.25,358.75,341.25,354.5,464,0,0
2021-01-26,358.25,358.25,351.25,354.75,303,0,0
2021-01-27,355.5,357.5,348.5,352.5,153,0,0
2021-01-28,353.0,355.5,344.5,346.75,419,0,0
2021-01-29,349.25,352.25,346.25,349.5,304,0,0
2021-02-01,351.25,354.0,346.25,347.5,325,0,0
2021-02-02,347.5,349.75,341.25,345.5,286,0,0
2021-02-03,346.0,349.0,342.5,349.0,161,0,0
2021-02-04,348.75,350.0,345.25,349.75,172,0,0
2021-02-05,347.25,350.5,347.25,349.25,68,0,0
2021-02-08,349.5,358.0,349.5,355.0,388,0,0
2021-02-09,356.25,357.0,351.0,354.0,519,0,0
2021-02-10,354.0,354.0,346.5,348.25,333,0,0
2021-02-11,352.25,352.25,347.0,350.5,355,0,0
2021-02-12,350.5,351.0,349.0,350.75,173,0,0
2021-02-16,350.0,354.5,350.0,353.25,375,0,0
2021-02-17,353.5,353.5,350.0,352.75,395,0,0
2021-02-18,352.0,354.0,350.5,353.25,274,0,0
2021-02-19,354.25,357.0,345.25,348.5,494,0,0
2021-02-22,349.0,351.25,347.0,351.25,201,0,0
2021-02-23,351.25,363.0,348.5,363.0,209,0,0
2021-02-24,362.0,369.0,361.0,367.25,140,0,0
2021-02-25,368.0,371.25,360.0,368.75,99,0,0
2021-02-26,377.75,378.0,368.0,376.5,16,0,0
2021-03-01,374.5,374.5,358.5,373.5,136,0,0
2021-03-02,374.5,374.5,349.25,374.5,8,0,0
2021-03-03,372.25,374.0,372.0,372.0,2,0,0
2021-03-04,374.25,376.0,374.25,376.0,1,0,0
2021-03-05,391.5,391.75,381.25,381.25,2,0,0
2021-03-08,390.0,390.0,390.0,390.0,1,0,0
2021-03-09,389.25,389.25,389.25,389.25,0,0,0
2021-03-10,381.75,381.75,381.75,381.75,0,0,0
2021-03-11,384.75,391.0,381.75,381.75,4,0,0
2021-03-12,381.75,381.75,381.75,381.75,175,0,0
2021-03-15,376.75,378.0,376.25,376.5,106,0,0
2021-03-16,377.25,377.25,367.25,374.0,302,0,0
2021-03-17,373.5,374.75,371.5,371.5,75,0,0
2021-03-18,372.25,373.25,365.0,366.25,304,0,0
2021-03-19,365.5,369.5,362.0,366.0,355,0,0
2021-03-22,366.5,369.25,363.25,368.5,285,0,0
2021-03-23,369.0,379.0,369.0,378.25,297,0,0
2021-03-24,377.0,383.75,376.0,381.5,215,0,0
