Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,117.25,117.5,116.75,117.25,32,0,0
2000-01-10,118.0,120.5,116.75,120.0,91,0,0
2000-01-17,119.75,122.75,119.75,121.0,139,0,0
2000-01-24,122.0,122.5,120.5,121.25,196,0,0
2000-01-31,120.0,120.0,117.0,117.5,39,0,0
2000-02-07,119.25,119.25,117.0,118.0,97,0,0
2000-02-14,119.0,119.0,117.5,119.0,98,0,0
2000-02-21,119.0,119.0,117.0,117.0,477,0,0
2000-02-28,117.5,120.25,116.75,119.5,462,0,0
2000-03-06,119.25,120.5,118.0,118.0,242,0,0
2000-03-13,119.25,123.75,119.0,123.25,232,0,0
2000-03-20,122.5,124.25,120.75,121.5,328,0,0
2000-03-27,122.75,123.0,118.0,122.25,373,0,0
2000-04-03,124.0,124.5,120.75,121.5,337,0,0
2000-04-10,121.5,123.75,119.5,122.5,350,0,0
2000-04-17,121.25,125.25,120.25,124.0,294,0,0
2000-04-24,124.0,126.5,123.75,124.0,633,0,0
2000-05-01,126.75,132.5,126.75,128.0,898,0,0
2000-05-08,125.75,127.5,123.5,126.25,714,0,0
2000-05-15,125.5,127.0,122.75,126.5,502,0,0
2000-05-22,126.0,128.0,121.0,122.0,1346,0,0
2000-05-29,120.5,120.5,118.75,119.0,1151,0,0
2000-06-05,119.0,120.25,116.75,116.75,1798,0,0
2000-06-12,112.5,115.0,110.75,114.5,3370,0,0
2000-06-19,114.0,116.0,110.5,111.0,4850,0,0
2000-06-26,108.75,110.5,103.75,103.75,7676,0,0
2000-07-03,103.75,105.0,99.5,104.75,4522,0,0
2000-07-10,103.5,107.75,103.0,104.75,3378,0,0
2000-07-17,104.75,112.25,102.5,112.0,5151,0,0
2000-07-24,112.0,113.5,103.0,106.75,4119,0,0
2000-07-31,105.75,107.5,100.5,101.5,3565,0,0
2000-08-07,102.0,103.75,96.5,98.5,3336,0,0
2000-08-14,97.75,101.5,97.25,98.75,2991,0,0
2000-08-21,98.0,99.5,97.25,98.25,2954,0,0
2000-08-28,100.0,100.0,98.0,98.0,1141,0,0
2000-09-04,98.25,99.0,98.25,99.0,30,0,0
2000-09-11,98.25,99.0,98.25,101.0,35,0,0
2000-11-13,108.5,108.5,108.5,103.25,1,0,0
2000-11-27,100.0,100.0,97.5,99.25,36,0,0
2001-01-15,107.0,107.0,105.75,105.75,1,0,0
2001-01-22,105.5,105.5,104.5,104.5,4,0,0
2001-01-29,104.5,104.5,104.5,102.75,1,0,0
