Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-31,640.0,644.5,632.5,640.5,44927,0,0
2021-01-04,643.0,650.25,634.0,642.0,66782,0,0
2021-01-05,641.5,664.5,639.5,654.0,81173,0,0
2021-01-06,654.0,660.25,646.0,647.5,60850,0,0
2021-01-07,646.75,648.25,638.0,642.25,47486,0,0
2021-01-08,644.75,649.5,634.0,638.75,56138,0,0
2021-01-11,639.0,651.5,628.75,634.75,58069,0,0
2021-01-12,636.25,670.0,634.0,665.0,80416,0,0
2021-01-13,665.0,680.75,656.25,660.5,80724,0,0
2021-01-14,660.0,673.25,653.0,670.0,63304,0,0
2021-01-15,671.0,693.0,664.5,675.5,77447,0,0
2021-01-19,683.75,691.25,668.75,672.25,63501,0,0
2021-01-20,675.25,676.0,656.5,667.75,66033,0,0
2021-01-21,666.5,674.75,657.75,660.75,50212,0,0
2021-01-22,658.5,659.0,633.0,634.5,76808,0,0
2021-01-25,633.0,651.5,624.25,648.5,64721,0,0
2021-01-26,646.75,667.75,641.25,665.25,68363,0,0
2021-01-27,663.25,672.75,652.5,658.25,54190,0,0
2021-01-28,655.0,664.5,643.5,647.0,65434,0,0
2021-01-29,646.25,664.75,643.0,663.0,60153,0,0
2021-02-01,663.5,671.0,646.0,651.0,55799,0,0
2021-02-02,655.0,656.75,640.5,644.75,46873,0,0
2021-02-03,646.25,649.75,625.75,648.25,77131,0,0
2021-02-04,647.25,650.5,633.0,637.5,66019,0,0
2021-02-05,634.75,647.5,632.25,641.25,78451,0,0
2021-02-08,643.0,657.5,642.5,655.75,102705,0,0
2021-02-09,657.75,660.5,639.75,649.5,124145,0,0
2021-02-10,649.5,650.5,626.75,635.5,98577,0,0
2021-02-11,636.5,644.75,632.0,633.5,79697,0,0
2021-02-12,632.5,643.0,632.0,636.75,64747,0,0
2021-02-16,648.0,660.25,640.5,657.5,50195,0,0
2021-02-17,660.0,661.25,638.5,644.0,35182,0,0
2021-02-18,644.0,665.75,641.5,662.5,56681,0,0
2021-02-19,665.0,669.0,649.0,650.75,51919,0,0
2021-02-22,653.75,665.25,651.0,664.0,26456,0,0
2021-02-23,666.5,667.75,656.5,665.75,24552,0,0
2021-02-24,665.5,683.5,665.0,680.25,23402,0,0
2021-02-25,677.25,680.5,658.75,671.75,13332,0,0
2021-02-26,665.0,665.75,653.0,655.0,1445,0,0
2021-03-01,661.0,661.0,643.0,643.75,389,0,0
2021-03-02,645.5,663.25,640.0,663.25,241,0,0
2021-03-03,658.25,658.25,645.75,652.0,183,0,0
2021-03-04,653.0,658.0,648.75,649.75,576,0,0
2021-03-05,649.5,657.5,647.0,654.0,401,0,0
2021-03-08,659.5,659.5,642.5,646.5,351,0,0
2021-03-09,654.75,656.5,650.75,656.5,13,0,0
2021-03-10,653.25,653.75,643.5,650.75,130,0,0
2021-03-11,650.0,650.0,636.25,636.25,32,0,0
2021-03-12,631.75,631.75,631.75,631.75,34909,0,0
2021-03-15,637.75,647.75,636.0,645.0,40093,0,0
2021-03-16,645.5,648.0,631.75,647.0,51099,0,0
2021-03-17,646.25,649.5,639.25,640.0,36147,0,0
2021-03-18,640.0,641.0,629.0,630.5,47127,0,0
2021-03-19,629.0,635.5,621.75,627.0,51669,0,0
2021-03-22,627.5,630.75,621.25,627.25,36124,0,0
2021-03-23,628.0,644.5,621.0,634.75,68769,0,0
2021-03-24,635.0,638.75,624.0,624.75,45577,0,0
2021-03-25,624.75,625.5,609.0,612.5,60632,0,0
2021-03-26,611.0,619.0,608.25,613.25,45616,0,0
2021-03-29,615.75,617.75,607.25,616.75,38587,0,0
2021-03-30,616.25,616.75,600.5,601.75,52667,0,0
2021-03-31,603.25,631.75,593.25,618.0,90267,0,0
2021-04-01,623.0,625.75,601.25,611.0,73406,0,0
2021-04-05,607.0,625.0,607.0,618.0,52004,0,0
2021-04-06,622.0,627.5,613.75,615.5,58043,0,0
2021-04-07,615.0,619.75,609.75,616.25,73524,0,0
2021-04-08,618.0,631.5,616.0,628.75,87000,0,0
2021-04-09,628.75,646.5,627.25,638.75,113072,0,0
2021-04-12,638.0,639.0,623.0,628.0,101809,0,0
2021-04-13,630.25,637.25,628.25,629.75,78362,0,0
2021-04-14,630.75,655.75,630.75,648.0,117768,0,0
2021-04-15,647.25,657.75,639.0,653.75,61426,0,0
2021-04-16,652.5,659.75,648.25,652.5,36533,0,0
2021-04-19,653.0,660.75,651.0,652.25,28587,0,0
2021-04-20,651.5,679.0,650.25,659.75,43162,0,0
2021-04-21,662.75,678.75,658.75,673.25,30045,0,0
2021-04-22,673.75,713.25,672.0,710.25,45267,0,0
2021-04-23,709.75,714.75,701.0,710.25,29087,0,0
2021-04-26,712.75,745.25,712.75,739.5,34378,0,0
2021-04-27,737.0,773.0,726.75,733.75,16104,0,0
2021-04-28,734.25,743.75,713.5,725.25,12763,0,0
2021-04-29,722.25,738.75,712.75,737.5,9415,0,0
2021-04-30,741.0,745.5,728.5,742.5,406,0,0
2021-05-03,753.25,753.25,725.5,725.5,407,0,0
2021-05-04,731.25,737.5,730.0,737.0,300,0,0
2021-05-05,737.75,755.75,737.5,755.75,495,0,0
2021-05-06,761.0,764.25,745.0,764.25,16,0,0
2021-05-07,771.0,773.5,760.5,773.5,25,0,0
2021-05-10,768.5,769.0,742.5,742.5,227,0,0
2021-05-11,742.75,765.0,742.75,759.75,55,0,0
2021-05-12,763.0,763.0,746.5,754.75,77,0,0
2021-05-13,750.0,756.5,726.5,726.5,59,0,0
2021-05-14,730.25,730.25,727.25,727.25,79497,0,0
2021-05-17,704.0,707.5,692.0,699.75,53086,0,0
2021-05-18,702.5,718.5,692.5,698.0,61420,0,0
2021-05-19,698.0,699.0,671.5,679.25,77673,0,0
2021-05-20,682.25,688.0,672.25,675.25,55313,0,0
2021-05-21,675.5,677.5,665.75,674.25,57455,0,0
2021-05-24,667.0,668.75,653.25,662.25,57246,0,0
2021-05-25,663.25,667.5,646.75,656.5,64769,0,0
2021-05-26,657.0,657.75,639.5,648.5,59945,0,0
2021-05-27,648.25,679.5,648.0,676.25,65470,0,0
2021-05-28,676.0,679.75,661.25,663.5,56121,0,0
2021-06-01,673.25,702.0,672.0,693.5,75697,0,0
2021-06-02,692.0,701.5,681.5,687.5,65956,0,0
2021-06-03,689.5,699.25,669.25,676.25,60414,0,0
2021-06-04,678.5,690.25,676.25,687.75,55839,0,0
2021-06-07,694.25,704.0,678.5,680.0,103023,0,0
2021-06-08,682.5,699.25,680.25,685.0,91988,0,0
2021-06-09,685.0,686.0,673.5,682.25,91316,0,0
2021-06-10,684.0,689.25,672.75,683.75,103902,0,0
2021-06-11,682.25,688.0,669.5,680.75,80622,0,0
2021-06-14,680.5,680.75,657.0,674.5,67693,0,0
2021-06-15,674.5,676.25,649.0,661.5,68469,0,0
2021-06-16,662.0,672.75,658.75,662.75,61563,0,0
2021-06-17,663.75,667.0,637.25,639.0,68262,0,0
2021-06-18,639.0,668.5,639.0,662.75,53571,0,0
2021-06-21,657.0,673.5,646.5,661.5,38192,0,0
2021-06-22,666.25,672.75,650.75,651.0,35940,0,0
2021-06-23,653.25,668.25,653.25,661.25,40594,0,0
2021-06-24,660.25,660.75,642.0,651.25,29170,0,0
2021-06-25,650.5,656.75,634.5,637.0,38795,0,0
2021-06-28,638.0,655.0,637.0,646.0,29182,0,0
2021-06-29,651.0,657.75,638.25,639.75,13015,0,0
2021-06-30,640.5,673.0,627.5,671.5,1833,0,0
2021-07-01,667.75,683.0,658.5,658.5,558,0,0
2021-07-02,661.0,662.0,643.75,645.75,401,0,0
2021-07-06,634.75,634.75,611.0,620.0,93,0,0
2021-07-07,626.0,626.0,613.75,614.75,173,0,0
2021-07-08,615.0,618.0,611.75,612.25,101,0,0
2021-07-09,608.0,612.25,606.5,608.5,104,0,0
2021-07-12,610.75,635.0,604.5,635.0,30,0,0
2021-07-13,636.5,639.5,626.0,628.75,56,0,0
2021-07-14,645.0,645.0,645.0,645.0,60001,0,0
2021-07-15,653.75,673.5,651.25,672.0,56836,0,0
2021-07-16,671.75,696.25,670.75,692.5,75887,0,0
2021-07-19,702.75,709.5,694.25,697.75,74215,0,0
2021-07-20,698.75,718.0,698.25,700.5,64013,0,0
2021-07-21,701.0,712.0,700.0,710.75,52745,0,0
2021-07-22,708.25,709.0,681.75,692.25,63077,0,0
2021-07-23,688.0,696.75,677.5,684.0,42541,0,0
2021-07-26,684.0,684.0,665.5,677.0,43684,0,0
2021-07-27,680.25,690.0,671.75,674.5,50027,0,0
2021-07-28,675.0,696.25,673.75,688.75,49232,0,0
2021-07-29,689.75,706.75,689.0,705.25,45524,0,0
2021-07-30,705.0,711.5,695.0,703.75,53644,0,0
2021-08-02,704.0,731.75,704.0,729.5,62786,0,0
2021-08-03,727.5,734.75,717.75,724.5,73891,0,0
2021-08-04,724.25,738.75,714.5,717.25,75455,0,0
2021-08-05,714.75,725.5,709.75,712.75,62604,0,0
