Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-07-17,248.0,248.5,239.0,247.25,29064,0,0
2000-07-24,247.25,252.0,242.5,248.5,25216,0,0
2000-07-31,247.75,249.75,236.5,236.5,31975,0,0
2000-08-07,237.0,239.75,232.5,236.75,39168,0,0
2000-08-14,237.0,245.5,236.0,238.5,23015,0,0
2000-08-21,238.75,244.25,232.0,241.5,31490,0,0
2000-08-28,245.0,251.75,241.5,251.0,18620,0,0
2000-09-04,250.75,251.0,250.75,249.5,33,0,0
2000-09-11,250.75,254.5,250.75,254.5,318,0,0
2000-09-18,253.5,256.5,246.75,247.5,1048,0,0
2000-09-25,251.5,259.75,251.5,258.0,1518,0,0
2000-10-02,265.5,272.0,265.25,266.5,1108,0,0
2000-10-09,269.25,277.25,266.5,272.75,1124,0,0
2000-10-16,267.0,274.0,258.5,259.5,750,0,0
2000-10-23,260.0,260.0,254.75,256.25,356,0,0
2000-10-30,259.0,262.0,253.5,261.5,468,0,0
2000-11-06,264.0,266.25,256.0,256.25,659,0,0
2000-11-13,258.0,258.0,253.0,256.25,463,0,0
2000-11-20,256.5,263.0,253.75,260.25,497,0,0
2000-11-27,261.0,261.75,251.5,256.25,563,0,0
2000-12-04,260.5,260.75,260.5,262.0,42,0,0
2000-12-11,268.0,269.0,267.5,267.5,259,0,0
2000-12-18,265.5,275.75,265.0,275.75,482,0,0
2000-12-25,274.0,274.5,271.5,272.75,388,0,0
2001-01-01,278.5,284.5,275.5,284.25,798,0,0
2001-01-08,283.5,289.5,281.0,288.0,1089,0,0
2001-01-15,287.75,288.0,283.0,285.5,602,0,0
2001-01-22,286.0,286.5,278.75,278.75,379,0,0
2001-01-29,276.0,276.25,268.0,269.25,542,0,0
2001-02-05,272.5,276.0,265.75,267.25,609,0,0
2001-02-12,266.0,269.0,263.0,269.0,639,0,0
2001-02-19,265.25,268.0,262.25,263.0,173,0,0
2001-02-26,260.0,269.0,257.5,266.75,61,0,0
2001-03-05,274.0,274.25,268.0,268.0,5,0,0
2001-03-12,268.0,285.0,268.0,273.0,496,0,0
