,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-11 11:30:00-05:00,3811.25,3813.320068359375,3808.550048828125,3811.800048828125,0,0,0
2021-01-11 12:30:00-05:00,3811.85009765625,3817.860107421875,3809.43994140625,3810.030029296875,201316640,0,0
2021-01-11 13:30:00-05:00,3810.010009765625,3810.639892578125,3796.3701171875,3799.010009765625,213285171,0,0
2021-01-11 14:30:00-05:00,3799.02001953125,3808.389892578125,3795.360107421875,3795.469970703125,243024854,0,0
2021-01-11 15:30:00-05:00,3795.4599609375,3805.39990234375,3794.070068359375,3800.030029296875,321669454,0,0
2021-01-12 09:30:00-05:00,3801.6201171875,3809.75,3790.699951171875,3805.989990234375,0,0,0
2021-01-12 10:30:00-05:00,3805.969970703125,3810.780029296875,3801.409912109375,3802.530029296875,357716768,0,0
2021-01-12 11:30:00-05:00,3802.60009765625,3803.02001953125,3776.510009765625,3787.320068359375,318814984,0,0
2021-01-12 12:30:00-05:00,3787.330078125,3797.719970703125,3783.050048828125,3797.719970703125,227937042,0,0
2021-01-12 13:30:00-05:00,3797.760009765625,3806.5,3796.820068359375,3800.3798828125,228609264,0,0
2021-01-12 14:30:00-05:00,3800.3701171875,3804.949951171875,3794.429931640625,3800.570068359375,268020880,0,0
2021-01-12 15:30:00-05:00,3800.510009765625,3806.56005859375,3798.7099609375,3801.2900390625,353982734,0,0
2021-01-13 09:30:00-05:00,3802.22998046875,3806.14990234375,3791.5,3804.929931640625,0,0,0
2021-01-13 10:30:00-05:00,3804.97998046875,3811.60009765625,3803.969970703125,3809.340087890625,289917581,0,0
2021-01-13 11:30:00-05:00,3809.330078125,3811.590087890625,3803.93994140625,3809.1298828125,230635592,0,0
2021-01-13 12:30:00-05:00,3809.1298828125,3815.719970703125,3806.070068359375,3814.409912109375,223292295,0,0
2021-01-13 13:30:00-05:00,3814.409912109375,3820.9599609375,3812.169921875,3819.9599609375,211188724,0,0
2021-01-13 14:30:00-05:00,3819.97998046875,3820.60009765625,3809.39990234375,3809.830078125,236133323,0,0
2021-01-13 15:30:00-05:00,3809.85009765625,3815.669921875,3808.840087890625,3810.18994140625,315494158,0,0
2021-01-14 09:30:00-05:00,3814.97998046875,3823.60009765625,3814.2900390625,3822.06005859375,0,0,0
2021-01-14 10:30:00-05:00,3822.159912109375,3823.389892578125,3816.2099609375,3817.7900390625,331259776,0,0
2021-01-14 11:30:00-05:00,3817.820068359375,3818.47998046875,3813.35009765625,3815.93994140625,264427098,0,0
2021-01-14 12:30:00-05:00,3815.949951171875,3819.419921875,3810.550048828125,3814.830078125,244598500,0,0
2021-01-14 13:30:00-05:00,3814.85009765625,3818.010009765625,3812.360107421875,3813.919921875,254608909,0,0
2021-01-14 14:30:00-05:00,3813.929931640625,3814.7900390625,3798.06005859375,3803.080078125,322521004,0,0
2021-01-14 15:30:00-05:00,3803.169921875,3806.6298828125,3792.860107421875,3796.239990234375,393493364,0,0
2021-01-15 09:30:00-05:00,3788.72998046875,3788.72998046875,3749.6201171875,3756.929931640625,0,0,0
2021-01-15 10:30:00-05:00,3757.169921875,3776.780029296875,3754.659912109375,3776.510009765625,328267858,0,0
2021-01-15 11:30:00-05:00,3776.340087890625,3780.679931640625,3769.580078125,3774.179931640625,244850730,0,0
2021-01-15 12:30:00-05:00,3774.2099609375,3784.6298828125,3773.409912109375,3781.35009765625,201028475,0,0
2021-01-15 13:30:00-05:00,3781.330078125,3783.139892578125,3775.280029296875,3777.3701171875,205878325,0,0
2021-01-15 14:30:00-05:00,3777.389892578125,3783.260009765625,3772.27001953125,3776.889892578125,245740589,0,0
2021-01-15 15:30:00-05:00,3776.860107421875,3778.18994140625,3766.4599609375,3768.5,397429131,0,0
2021-01-19 09:30:00-05:00,3781.8798828125,3801.159912109375,3781.8798828125,3787.139892578125,0,0,0
2021-01-19 10:30:00-05:00,3787.179931640625,3793.389892578125,3780.3701171875,3785.429931640625,296990746,0,0
2021-01-19 11:30:00-05:00,3786.18994140625,3793.320068359375,3782.030029296875,3791.27001953125,223909514,0,0
2021-01-19 12:30:00-05:00,3791.31005859375,3801.97998046875,3791.260009765625,3799.3798828125,199255434,0,0
2021-01-19 13:30:00-05:00,3799.3798828125,3804.530029296875,3799.090087890625,3801.489990234375,203271860,0,0
2021-01-19 14:30:00-05:00,3801.530029296875,3803.330078125,3797.830078125,3800.780029296875,226367339,0,0
2021-01-19 15:30:00-05:00,3800.81005859375,3803.2099609375,3798.27001953125,3798.760009765625,323952764,0,0
2021-01-20 09:30:00-05:00,3816.219970703125,3840.81005859375,3816.219970703125,3836.389892578125,0,0,0
2021-01-20 10:30:00-05:00,3836.340087890625,3842.949951171875,3834.449951171875,3838.56005859375,297093097,0,0
2021-01-20 11:30:00-05:00,3838.580078125,3846.780029296875,3837.830078125,3846.010009765625,218650388,0,0
2021-01-20 12:30:00-05:00,3846.0,3853.75,3846.0,3852.0400390625,204988056,0,0
2021-01-20 13:30:00-05:00,3852.050048828125,3854.570068359375,3846.989990234375,3851.9599609375,205530944,0,0
2021-01-20 14:30:00-05:00,3851.97998046875,3856.25,3850.669921875,3855.409912109375,235756456,0,0
2021-01-20 15:30:00-05:00,3855.2900390625,3859.75,3851.550048828125,3851.550048828125,320463606,0,0
2021-01-21 09:30:00-05:00,3857.4599609375,3859.929931640625,3845.64990234375,3859.5400390625,0,0,0
2021-01-21 10:30:00-05:00,3859.570068359375,3861.449951171875,3854.75,3856.330078125,347948190,0,0
2021-01-21 11:30:00-05:00,3856.340087890625,3856.5,3845.050048828125,3848.43994140625,250413005,0,0
2021-01-21 12:30:00-05:00,3848.409912109375,3853.719970703125,3846.800048828125,3852.97998046875,236288621,0,0
2021-01-21 13:30:00-05:00,3852.949951171875,3858.949951171875,3852.2900390625,3858.409912109375,233818086,0,0
2021-01-21 14:30:00-05:00,3858.43994140625,3861.219970703125,3856.969970703125,3858.570068359375,258048675,0,0
2021-01-21 15:30:00-05:00,3858.5,3861.280029296875,3852.340087890625,3852.85009765625,360371389,0,0
2021-01-22 09:30:00-05:00,3844.239990234375,3845.330078125,3831.89990234375,3834.0,0,0,0
2021-01-22 10:30:00-05:00,3833.8798828125,3842.0,3830.409912109375,3839.18994140625,278146295,0,0
2021-01-22 11:30:00-05:00,3839.169921875,3850.159912109375,3838.179931640625,3849.320068359375,214609291,0,0
2021-01-22 12:30:00-05:00,3849.1201171875,3849.550048828125,3841.659912109375,3846.1201171875,189080343,0,0
2021-01-22 13:30:00-05:00,3846.10009765625,3849.050048828125,3842.530029296875,3845.090087890625,183820524,0,0
2021-01-22 14:30:00-05:00,3844.9599609375,3850.820068359375,3843.929931640625,3850.75,237014910,0,0
2021-01-22 15:30:00-05:00,3850.75,3852.31005859375,3841.14990234375,3841.14990234375,318207718,0,0
2021-01-25 09:30:00-05:00,3851.679931640625,3859.22998046875,3845.699951171875,3857.429931640625,0,0,0
2021-01-25 10:30:00-05:00,3857.389892578125,3858.60009765625,3797.159912109375,3817.81005859375,489926118,0,0
2021-01-25 11:30:00-05:00,3817.760009765625,3838.669921875,3814.949951171875,3825.139892578125,281942637,0,0
2021-01-25 12:30:00-05:00,3825.1201171875,3849.409912109375,3822.10009765625,3848.199951171875,241475808,0,0
2021-01-25 13:30:00-05:00,3848.22998046875,3849.969970703125,3840.81005859375,3846.169921875,228229636,0,0
2021-01-25 14:30:00-05:00,3846.2099609375,3849.3701171875,3836.570068359375,3842.4599609375,257881994,0,0
2021-01-25 15:30:00-05:00,3842.360107421875,3856.31005859375,3840.969970703125,3855.449951171875,348581281,0,0
2021-01-26 09:30:00-05:00,3862.9599609375,3870.89990234375,3850.239990234375,3859.090087890625,577960091,0,0
2021-01-26 10:30:00-05:00,3859.1298828125,3862.320068359375,3851.489990234375,3855.2099609375,328144429,0,0
2021-01-26 11:30:00-05:00,3855.25,3855.81005859375,3847.780029296875,3853.909912109375,253815776,0,0
2021-01-26 12:30:00-05:00,3853.85009765625,3857.080078125,3848.820068359375,3855.949951171875,218609022,0,0
2021-01-26 13:30:00-05:00,3855.949951171875,3860.64990234375,3853.7900390625,3856.679931640625,212087067,0,0
2021-01-26 14:30:00-05:00,3856.659912109375,3860.72998046875,3853.489990234375,3860.510009765625,292936470,0,0
2021-01-26 15:30:00-05:00,3860.4599609375,3860.97998046875,3848.050048828125,3849.969970703125,386013537,0,0
2021-01-27 09:30:00-05:00,3836.830078125,3836.830078125,3767.10009765625,3805.10009765625,0,0,0
2021-01-27 10:30:00-05:00,3804.919921875,3810.699951171875,3791.7099609375,3793.56005859375,485940808,0,0
2021-01-27 11:30:00-05:00,3793.68994140625,3795.02001953125,3771.419921875,3790.080078125,390929299,0,0
2021-01-27 12:30:00-05:00,3790.159912109375,3800.800048828125,3781.909912109375,3797.39990234375,293985610,0,0
2021-01-27 13:30:00-05:00,3797.2900390625,3797.610107421875,3771.25,3771.56005859375,317291569,0,0
2021-01-27 14:30:00-05:00,3771.679931640625,3772.429931640625,3743.3701171875,3745.840087890625,468178619,0,0
2021-01-27 15:30:00-05:00,3746.179931640625,3756.219970703125,3732.47998046875,3752.320068359375,547451718,0,0
2021-01-28 09:30:00-05:00,3755.75,3812.159912109375,3755.75,3801.39990234375,0,0,0
2021-01-28 10:30:00-05:00,3801.030029296875,3820.3701171875,3795.530029296875,3809.699951171875,483915456,0,0
