,Datetime,Extreme Price
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,2022-12-16 11:00:00-05:00,1797.699951171875
10,,
11,,
12,2022-12-16 11:45:00-05:00,1800.699951171875
13,,
14,,
15,,
16,2022-12-16 12:45:00-05:00,1797.199951171875
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,2022-12-16 15:30:00-05:00,1804.0
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,2022-12-18 19:00:00-05:00,1800.0999755859375
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,2022-12-18 22:00:00-05:00,1807.0
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,2022-12-19 00:45:00-05:00,1800.0
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,2022-12-19 03:15:00-05:00,1808.5999755859373
71,,
72,,
73,,
74,,
75,,
76,2022-12-19 04:45:00-05:00,1805.0999755859373
77,,
78,,
79,,
80,,
81,2022-12-19 06:00:00-05:00,1806.300048828125
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,2022-12-19 09:45:00-05:00,1798.5
97,2022-12-19 10:00:00-05:00,1802.0999755859373
98,,
99,,
100,,
101,2022-12-19 11:00:00-05:00,1793.199951171875
102,,
103,,
104,,
105,,
106,,
107,,
108,2022-12-19 12:45:00-05:00,1800.5
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,2022-12-19 15:15:00-05:00,1795.5
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,2022-12-19 18:15:00-05:00,1797.5
127,,
128,,
129,,
130,,
131,2022-12-19 19:30:00-05:00,1793.699951171875
132,,
133,,
134,,
135,2022-12-19 20:30:00-05:00,1797.199951171875
136,,
137,,
138,,
139,2022-12-19 21:30:00-05:00,1794.800048828125
140,,
141,2022-12-19 22:00:00-05:00,1805.800048828125
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,2022-12-20 00:30:00-05:00,1795.5999755859375
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,2022-12-20 04:45:00-05:00,1817.5999755859373
169,,
170,,
171,,
172,2022-12-20 05:45:00-05:00,1814.5
173,,
174,,
175,,
176,2022-12-20 06:45:00-05:00,1819.199951171875
177,,
178,,
179,,
180,2022-12-20 07:45:00-05:00,1807.5999755859373
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,2022-12-20 10:00:00-05:00,1832.4000244140625
190,,
191,,
192,,
193,,
194,2022-12-20 11:15:00-05:00,1823.699951171875
195,,
196,,
197,2022-12-20 12:00:00-05:00,1830.800048828125
198,,
199,,
