unix,date,symbol,open,high,low,close,Volume BTC,Volume AUD,tradecount
1665360000000,2022-10-10 00:00:00,BTC/AUD,30500.34000000,30550.98000000,30451.04000000,30524.71000000,4.99575000,152399.67691160,205
1665273600000,2022-10-09 00:00:00,BTC/AUD,30501.77000000,30722.84000000,30035.15000000,30500.34000000,299.59582000,9116074.63336470,14175
1665187200000,2022-10-08 00:00:00,BTC/AUD,30663.43000000,32579.00000000,30250.03000000,30514.53000000,149.40136000,4589058.60810630,8148
1665100800000,2022-10-07 00:00:00,BTC/AUD,31114.64000000,31246.96000000,30250.00000000,30651.16000000,445.45461000,13765691.52928780,23424
1665014400000,2022-10-06 00:00:00,BTC/AUD,30947.72000000,31490.69000000,30916.17000000,31121.28000000,672.60475000,20958435.98210630,31215
1664928000000,2022-10-05 00:00:00,BTC/AUD,31236.04000000,31341.00000000,30712.46000000,30944.78000000,626.01277000,19431717.14147260,32353
1664841600000,2022-10-04 00:00:00,BTC/AUD,30174.21000000,31438.31000000,29999.00000000,31224.19000000,554.71943000,17000204.33862350,26220
1664755200000,2022-10-03 00:00:00,BTC/AUD,29692.44000000,30251.08000000,29576.10000000,30168.82000000,480.06040000,14315280.65158450,24548
1664668800000,2022-10-02 00:00:00,BTC/AUD,30197.82000000,30340.19000000,29476.60000000,29703.93000000,201.49719000,6041282.53824130,12431
1664582400000,2022-10-01 00:00:00,BTC/AUD,30366.94000000,30456.44000000,29983.15000000,30192.35000000,164.16983000,4956361.43103340,10514
1664496000000,2022-09-30 00:00:00,BTC/AUD,30097.16000000,31291.13000000,29654.01000000,30378.76000000,613.68024000,18510220.30539520,32251
1664409600000,2022-09-29 00:00:00,BTC/AUD,29831.69000000,30243.92000000,29188.35000000,30087.44000000,554.71530000,16576585.99745480,27064
1664323200000,2022-09-28 00:00:00,BTC/AUD,29632.58000000,30257.48000000,28871.89000000,29826.77000000,705.29071000,20830634.36761360,38621
1664236800000,2022-09-27 00:00:00,BTC/AUD,29705.00000000,31407.45000000,29306.17000000,29625.69000000,734.61401000,22449733.42807740,36268
1664150400000,2022-09-26 00:00:00,BTC/AUD,28791.84000000,29765.10000000,28700.71000000,29705.00000000,480.19006000,14013966.79985990,19644
1664064000000,2022-09-25 00:00:00,BTC/AUD,29021.21000000,29372.01000000,28606.00000000,28771.12000000,213.47337000,6200916.33149410,7970
1663977600000,2022-09-24 00:00:00,BTC/AUD,29562.44000000,29580.01000000,28831.64000000,29011.72000000,198.59076000,5800431.49194670,10496
1663891200000,2022-09-23 00:00:00,BTC/AUD,29213.60000000,29714.41000000,28256.39000000,29557.32000000,379.87484000,11006981.11914570,19173
1663804800000,2022-09-22 00:00:00,BTC/AUD,27928.62000000,29379.00000000,27835.09000000,29213.37000000,407.55041000,11672699.99692140,23074
1663718400000,2022-09-21 00:00:00,BTC/AUD,28185.74000000,29765.10000000,27420.00000000,27951.04000000,612.41251000,17514415.83976410,26393
1663632000000,2022-09-20 00:00:00,BTC/AUD,29044.75000000,29137.63000000,28057.38000000,28213.10000000,489.56472000,14012417.05729800,22401
1663545600000,2022-09-19 00:00:00,BTC/AUD,28882.17000000,29286.45000000,27350.00000000,29050.28000000,829.66683000,23355539.27600790,54242
